Name,ImageName,PageURL,Character List,Characters,Control,Flavor Text,Game Text,Numbers,Printing,Rarity,Subtype,Traits,Trivia,Type
Adam Warlock - The Infinity Watch,Adamwarlocktheinfinitywatch-CLOP_cb20211009161317.jpg,https://cardguide.fandom.com/wiki/Adam_Warlock_-_The_Infinity_Watch_(CLOP),,"Adam Warlock, Gamora, Pip the Troll",AD,,Avoid 1 Energy or Intellect card.,Cost/Effect: -,Normal,Common,,,,Special
Absorbing Man - Rebuild Form,Absorbingmanrebuildform-CLOP_cb20211009160236.jpg,https://cardguide.fandom.com/wiki/Absorbing_Man_-_Rebuild_Form_(CLOP),,Absorbing Man,JJ,,Discard 1 Power card usable by Absorbing Man to remove all Hits with same icon from Absorbing Man's Permanent Record. May not discard a MultiPower card.,Cost/Effect: -,Normal,Uncommon,,,,Special
7 Any Power,7anypower-CLOP_cb20211009152853.jpg,https://cardguide.fandom.com/wiki/7_Any_Power_(CLOP),,Dormammu,,,-,,Normal,Uncommon,,,,Power
Absorbing Man,Absorbingman-CLOP_cb20211008221615.jpg,https://cardguide.fandom.com/wiki/Absorbing_Man_(CLOP),,Absorbing Man (Carl Creel),,,"May play ""Molecular Mimic"" from Reserve.",Energy 5Fighting 5Strength 7Intellect 1,Normal,Rare,,"Marvel Comics, Male",,Character
Absorbing Man - Wrecking Ball,Absorbingmanwreckingball-CLOP_cb20211009160738.jpg,https://cardguide.fandom.com/wiki/Absorbing_Man_-_Wrecking_Ball_(CLOP),,Absorbing Man,EN,,Acts as a level 5 Strength attack. May not be defended with a Special card.,Cost/Effect: Strength 5,Normal,Common,,,,Special
Absorbing Man - Crusher Creel,Absorbingmancrushercreel-CLOP_cb20211009155420.jpg,https://cardguide.fandom.com/wiki/Absorbing_Man_-_Crusher_Creel_(CLOP),,Absorbing Man,JH,,"Acts as a level 5 Fighting attack. If successful, Target Character -2 to defense for remainder of battle.",Cost/Effect: Fighting 5,Normal,Common,,,,Special
Absorbing Man - Molecular Mimic,Absorbingmanmolecularmimic-CLOP_cb20211009155951.jpg,https://cardguide.fandom.com/wiki/Absorbing_Man_-_Molecular_Mimic_(CLOP),,Absorbing Man,KN,,Play with any Basic Universe card. Absorbing Man's Power Grid gets Bonus in that Power Type for remainder of game.,Cost/Effect: -,Normal,Uncommon,,,,Special
Absorbing Man - Absorb Properties,Absorbingmanabsorbproperties-CLOP_cb20211009154841.jpg,https://cardguide.fandom.com/wiki/Absorbing_Man_-_Absorb_Properties_(CLOP),,Absorbing Man,DY,,This Special acts identical to any Hit in Absorbing Man's Hits from the Current Battle or Permanent Record. One Per Deck,Cost/Effect: -,Normal,Rare,,,,Special
Absorbing Man - Titania,Absorbingmantitania-CLOP_cb20211009160520.jpg,https://cardguide.fandom.com/wiki/Absorbing_Man_-_Titania_(CLOP),,"Titania, Absorbing Man",KH,,"Opponent -3 to Venture Total for this battle. If opponent has ""The Secret Wars"" Mission, opponent -6 to Venture Total for this battle.",Cost/Effect: -,Normal,Common,,,,Special
Acolytes - Amelia Voght,Acolytesameliavoght-CLOP_cb20211009161015.jpg,https://cardguide.fandom.com/wiki/Acolytes_-_Amelia_Voght_(CLOP),,Amelia Voght,KH,,"Opponent -3 to Venture Total for this battle. If opponent has ""Fatal Attractions"" Mission, opponent -6 to Venture Total for this battle.",Cost/Effect: -,Normal,Uncommon,,,,Special
Adamantium Tentacles,Adamantiumtentacles-CLOP_cb20210929192614.jpg,https://cardguide.fandom.com/wiki/Adamantium_Tentacles_(CLOP),,Doctor Octopus,,,Teammate's Strength Rating increases to 7 for remainder of game.One Per Deck,Cost/Effect: 6 Strength and teammate with 5 Strength or less to use,Normal,Rare,Artifact,,,Tactic
Alpha Flight - Murmur,Alphaflightmurmur-CLOP_cb20211009161552.jpg,https://cardguide.fandom.com/wiki/Alpha_Flight_-_Murmur_(CLOP),,Murmur (Arlette Truffaut),KD,,All Energy Power Card Hits on Target Character are doubled when determing Cumulative K.O. for remainder of game. Does not count toward Venture Total. One Per Deck,Cost/Effect: -,Normal,Uncommon,,,,Special
Age of Apocalypse,Ageofapocalypse-CLOP_cb20211009143252.jpg,https://cardguide.fandom.com/wiki/Age_of_Apocalypse_(CLOP),Morph Shadowcat Holocaust Dark Beast Blink X-Men,"Morph, Blink",,,"Age of Apocalypse Team +2 to Venture Total per battle if using ""Age of Apocalypse"" Mission with at least 1 Event card.",,Normal,Rare,,,,Location
Avenger's ID Card,Avengersidcard-P_cb20210929191735.jpg,https://cardguide.fandom.com/wiki/Avenger%27s_ID_Card_(P),,"Hulk, Wasp",,,"Teammate may use Tactic: Double Shot cards, with normal contribution, to avoid any attack.",Cost/Effect: 6 Intellect and Teammate with 5 Any-Power or less to use,Normal,Promo,Artifact,,,Tactic
Any Mission - To Save the World!,Anymissiontosavetheworld-CLOP_cb20211009142239.jpg,https://cardguide.fandom.com/wiki/Any_Mission_-_To_Save_the_World!_(CLOP),,"Power Princess, Hyperion, Whizzer",,"After defeating The Overmind™, The Squadron Supreme™, as a show of faith, appeared unmasked to launch their Utopia Program, designed to combat the ills of mankind.","For remainder of battle, after venturing, if one player either draws or discards cards, placed or in hand. Then other player must draw or discard an equal number of cards, either placed or in hand.",,Normal,Rare,,,,Event
Angel: Horseman of Apocalypse,Angelhorsemanofapoalypse-CLOP_cb20211008222352.jpg,https://cardguide.fandom.com/wiki/Angel:_Horseman_of_Apocalypse_(CLOP),,Archangel (Warren Worthington III),,,-,Energy 5Fighting 7Strength 6Intellect 2,Normal,Common,,"Marvel Comics, Male",,Character
Any Character - Deal with the Devil,Anycharacterdealwiththedevil-P-Marvel_cb20160910093603.jpg,https://cardguide.fandom.com/wiki/Any_Character_-_Deal_with_the_Devil_(Marvel)_(P),,"unknown, White Queen",BW,,Opponent must discard top 2 cards from Draw Pile into Dead Pile.,,Normal,Promo,,,,Special
Any Character - New Universe,Anycharacternewuniverse-CLOP_cb20211009154005.jpg,https://cardguide.fandom.com/wiki/Any_Character_-_New_Universe_(CLOP),,Nightmask (Keith Remsen),EN,,"Play to concede battle. All Mission cards Ventured this battle return to piles Ventured from. May be Placed. Counts as a duplicate of all ""Any Hero/Character"" EN Specials. One Per Deck",Cost/Effect: -,Normal,Very Rare,,,,Special
Baron Mordo - Bargain Lifeforce,Baronmordobargainlifefroce-CLOP_cb20211009161957.jpg,https://cardguide.fandom.com/wiki/Baron_Mordo_-_Bargain_Lifeforce_(CLOP),,Baron Mordo,JO,,Baron Mordo's Hits to K.O. is reduced to 7 points. Baron Mordo's Energy and Intellect Power Grid Ratings increase to 8 for the remainder of game.,Cost/Effect: -,Normal,Uncommon,,,,Special
Baron Mordo,Baronmordo-CLOP_cb20211008222606.jpg,https://cardguide.fandom.com/wiki/Baron_Mordo_(CLOP),,Baron Mordo (Karl Mordo),,,-,Energy 7Fighting 3Strength 2Intellect 6,Normal,Rare,,"Marvel Comics, Male",,Character
Baron Mordo - Demonic Summons,Baronmordodemonicsummons-CLOP_cb20211009162925.jpg,https://cardguide.fandom.com/wiki/Baron_Mordo_-_Demonic_Summons_(CLOP),,Baron Mordo,AQ,,"Acts as a level 8 Strength, Fighting, or Intellect attack. One Per Deck",Cost/Effect: Strength/Fighting/Intellect 8,Normal,Rare,,,,Special
Baron Mordo - Illusion Casting,Baronmordoillusioncasting-CLOP_cb20211009163419.jpg,https://cardguide.fandom.com/wiki/Baron_Mordo_-_Illusion_Casting_(CLOP),,Baron Mordo,AG,,Avoid 1 attack.,Cost/Effect: -,Normal,Uncommon,,,,Special
Baron Mordo - Mystical Menace,Baronmordomysticalmenace-CLOP_cb20211009163920.jpg,https://cardguide.fandom.com/wiki/Baron_Mordo_-_Mystical_Menace_(CLOP),,Baron Mordo,DO,,Negates the effect of any 1 Special card played by opponent against Baron Mordo only.,Cost/Effect: -,Normal,Common,,,,Special
Beta Ray Bill,Betaraybill-CLOP_cb20211008223121.jpg,https://cardguide.fandom.com/wiki/Beta_Ray_Bill_(CLOP),,Beta Ray Bill,,,"May play any ""Thor"" Special cards.",Energy 5Fighting 4Strength 7Intellect 6,Normal,Common,,"Marvel Comics, Male",,Character
Baron Mordo - Jealous Disciple,Baronmordojealousdisciple-CLOP_cb20211009163615.jpg,https://cardguide.fandom.com/wiki/Baron_Mordo_-_Jealous_Disciple_(CLOP),,Baron Mordo,LT,,"Acts as a level 3 Intellect attack, +1 for each Mission card in Baron Mordo's Defeated Missions Pile.",Cost/Effect: Intellect 3,Normal,Uncommon,,,,Special
Baron Mordo - Spell of Silence,Baronmordospellofsilence-CLOP_cb20211009164209.jpg,https://cardguide.fandom.com/wiki/Baron_Mordo_-_Spell_of_Silence_(CLOP),,"Baron Mordo, Doctor Strange",JY,,"Acts as a level 5 Energy attack. May not be affected by a card with the word ""teammate"" on it.",Cost/Effect: Energy 5,Normal,Common,,,,Special
Black Panther,Blackpanther-CLOP_cb20211008223408.jpg,https://cardguide.fandom.com/wiki/Black_Panther_(CLOP),,Black Panther (T'Challa),,,-,Energy 2Fighting 7Strength 5Intellect 6,Normal,Rare,,"Marvel Comics, Male",,Character
Black Panther - Jungle Savvy,Blackpantherjunglesavvy-CLOP_cb20211009172357.jpg,https://cardguide.fandom.com/wiki/Black_Panther_-_Jungle_Savvy_(CLOP),,Black Panther,JZ,,Acts as a level 5 Fighting attack. May not be defended with a Special card.,Cost/Effect: Fighting 5,Normal,Common,,,,Special
Black Panther - Heart Shaped Herb,Blackpantherheartshapedherb-CLOP_cb20211009172008.jpg,https://cardguide.fandom.com/wiki/Black_Panther_-_Heart_Shaped_Herb_(CLOP),,Black Panther,AL,,"Remove 1 Hit from Black Panther's Permanent Record, and Black Panther's Fighting Rating increases to 8 for remainder of Battle.",Cost/Effect: -,Normal,Common,,,,Special
Black Panther - Wakandan Technology,Blackpantherwakandantechnology-CLOP_cb20211009173009.jpg,https://cardguide.fandom.com/wiki/Black_Panther_-_Wakandan_Technology_(CLOP),,Black Panther,DQ,,Black Panther's Battlesite's Hits to K.O. number is increased by 5 points for remainder of game.,Cost/Effect: -,Normal,Uncommon,,,,Special
